Wavelength;Channel 1
1519.779999999991;-37.0
1519.799999999991;-37.45
1519.819999999991;-37.97
1519.839999999991;-38.43
1519.859999999991;-38.89
1519.879999999991;-39.42
1519.899999999991;-40.1
1519.919999999991;-40.98
1519.939999999991;-41.8
1519.959999999991;-42.81
1519.979999999991;-44.01
1519.999999999991;-45.08
1520.019999999991;-46.31
1520.0399999999909;-47.08
1520.0599999999909;-47.89
1520.0799999999908;-47.25
1520.0999999999908;-47.91
1520.1199999999908;-47.9
1520.1399999999908;-47.05
1520.1599999999908;-46.59
1520.1799999999907;-44.75
1520.1999999999907;-43.4
1520.2199999999907;-42.6
1520.2399999999907;-41.69
1520.2599999999907;-40.86
1520.2799999999907;-40.09
1520.2999999999906;-39.21
1520.3199999999906;-38.75
1520.3399999999906;-38.33
1520.3599999999906;-37.9
1520.3799999999906;-37.55
1520.3999999999905;-37.2
1520.4199999999905;-36.79
1520.4399999999905;-36.47
1520.4599999999905;-36.25
1520.4799999999905;-36.05
1520.4999999999905;-35.9
1520.5199999999904;-35.77
1520.5399999999904;-35.64
1520.5599999999904;-35.45
1520.5799999999904;-35.35
1520.5999999999904;-35.27
1520.6199999999903;-35.12
1520.6399999999903;-35.06
1520.6599999999903;-34.98
1520.6799999999903;-34.86
1520.6999999999903;-34.85
1520.7199999999903;-34.83
1520.7399999999902;-34.81
1520.7599999999902;-34.79
1520.7799999999902;-34.73
1520.7999999999902;-34.72
1520.8199999999902;-34.71
1520.8399999999901;-34.68
1520.8599999999901;-34.71
1520.87999999999;-34.74
1520.89999999999;-34.76
1520.91999999999;-34.8
1520.93999999999;-34.89
1520.95999999999;-34.95
1520.97999999999;-35.0
1520.99999999999;-35.05
1521.01999999999;-35.13
1521.03999999999;-35.26
1521.05999999999;-35.4
1521.07999999999;-35.51
1521.09999999999;-35.65
1521.11999999999;-35.77
1521.1399999999899;-35.89
1521.1599999999899;-36.08
1521.1799999999898;-36.26
1521.1999999999898;-36.51
1521.2199999999898;-36.85
1521.2399999999898;-37.24
1521.2599999999898;-37.6
1521.2799999999897;-37.95
1521.2999999999897;-38.32
1521.3199999999897;-38.68
1521.3399999999897;-39.13
1521.3599999999897;-39.66
1521.3799999999896;-40.23
1521.3999999999896;-40.91
1521.4199999999896;-41.6
1521.4399999999896;-42.29
1521.4599999999896;-42.89
1521.4799999999896;-43.42
1521.4999999999895;-43.99
1521.5199999999895;-45.45
1521.5399999999895;-46.6
1521.5599999999895;-46.53
1521.5799999999895;-45.73
1521.5999999999894;-45.32
1521.6199999999894;-45.24
1521.6399999999894;-44.43
1521.6599999999894;-43.99
1521.6799999999894;-43.58
1521.6999999999894;-42.85
1521.7199999999893;-41.95
1521.7399999999893;-41.35
1521.7599999999893;-41.12
1521.7799999999893;-40.47
1521.7999999999893;-39.8
1521.8199999999892;-39.19
1521.8399999999892;-38.81
1521.8599999999892;-38.62
1521.8799999999892;-38.41
1521.8999999999892;-38.06
1521.9199999999892;-37.83
1521.9399999999891;-37.56
1521.9599999999891;-37.29
1521.979999999989;-37.07
1521.999999999989;-36.88
1522.019999999989;-36.68
1522.039999999989;-36.44
1522.059999999989;-36.32
1522.079999999989;-36.22
1522.099999999989;-36.12
1522.119999999989;-36.07
1522.139999999989;-35.96
1522.159999999989;-35.87
1522.179999999989;-35.8
1522.199999999989;-35.75
1522.2199999999889;-35.73
1522.2399999999889;-35.73
1522.2599999999888;-35.76
1522.2799999999888;-35.78
1522.2999999999888;-35.8
1522.3199999999888;-35.77
1522.3399999999888;-35.77
1522.3599999999888;-35.82
1522.3799999999887;-35.91
1522.3999999999887;-35.9
1522.4199999999887;-35.91
1522.4399999999887;-35.99
1522.4599999999887;-36.03
1522.4799999999886;-36.12
1522.4999999999886;-36.23
1522.5199999999886;-36.3
1522.5399999999886;-36.45
1522.5599999999886;-36.64
1522.5799999999886;-36.77
1522.5999999999885;-36.98
1522.6199999999885;-37.25
1522.6399999999885;-37.49
1522.6599999999885;-37.74
1522.6799999999885;-38.01
1522.6999999999884;-38.25
1522.7199999999884;-38.41
1522.7399999999884;-38.64
1522.7599999999884;-38.96
1522.7799999999884;-39.39
1522.7999999999884;-39.79
1522.8199999999883;-40.16
1522.8399999999883;-40.65
1522.8599999999883;-40.91
1522.8799999999883;-41.21
1522.8999999999883;-41.56
1522.9199999999882;-41.91
1522.9399999999882;-41.94
1522.9599999999882;-42.04
1522.9799999999882;-42.33
1522.9999999999882;-42.43
1523.0199999999882;-42.24
1523.0399999999881;-41.99
1523.0599999999881;-41.97
1523.079999999988;-41.86
1523.099999999988;-41.58
1523.119999999988;-41.17
1523.139999999988;-40.89
1523.159999999988;-40.5
1523.179999999988;-40.02
1523.199999999988;-39.6
1523.219999999988;-39.26
1523.239999999988;-38.94
1523.259999999988;-38.66
1523.279999999988;-38.41
1523.299999999988;-38.18
1523.3199999999879;-38.0
1523.3399999999879;-37.84
1523.3599999999878;-37.6
1523.3799999999878;-37.41
1523.3999999999878;-37.27
1523.4199999999878;-37.11
1523.4399999999878;-36.97
1523.4599999999878;-36.87
1523.4799999999877;-36.69
1523.4999999999877;-36.61
1523.5199999999877;-36.54
1523.5399999999877;-36.4
1523.5599999999877;-36.44
1523.5799999999876;-36.46
1523.5999999999876;-36.44
1523.6199999999876;-36.49
1523.6399999999876;-36.44
1523.6599999999876;-36.37
1523.6799999999876;-36.43
1523.6999999999875;-36.54
1523.7199999999875;-36.64
1523.7399999999875;-36.7
1523.7599999999875;-36.79
1523.7799999999875;-36.87
1523.7999999999874;-36.93
1523.8199999999874;-37.02
1523.8399999999874;-37.2
1523.8599999999874;-37.4
1523.8799999999874;-37.59
1523.8999999999874;-37.77
1523.9199999999873;-37.94
1523.9399999999873;-38.07
1523.9599999999873;-38.22
1523.9799999999873;-38.41
1523.9999999999873;-38.6
1524.0199999999872;-38.8
1524.0399999999872;-39.04
1524.0599999999872;-39.29
1524.0799999999872;-39.6
1524.0999999999872;-40.0
1524.1199999999872;-40.48
1524.1399999999871;-40.77
1524.1599999999871;-40.81
